"id","name","categ_id/id","type","list_price","default_code","ean13"
"__export__.product_product_493","แปรงล้างขวดนมแบบหมุนสีฟ้า","ABR","Stockable Product","109.0","ABR10014","8859029901049"
"__export__.product_product_495","แปรงล้างขวดนมแบบหมุนสีฟ้า-เขียว Pack 12","ABR","Stockable Product","1308.0","ABR1001421P12","8859029901049"
"__export__.product_product_494","แปรงล้างขวดนมแบบหมุนสีเขียว","ABR","Stockable Product","109.0","ABR10021","8859029910027"
"__export__.product_product_185","แปรงล้างขวดนมและจุกนมสีฟ้า","ABR","Stockable Product","99.0","ABR1014B","8859029910140"
"__export__.product_product_186","แปรงล้างขวดนมและจุกนมสีชมพู","ABR","Stockable Product","99.0","ABR1014P","8859029910164"
"__export__.product_product_184","แปรงล้างขวดนมและจุกนมสีฟ้า-ชมพู Pack 12","ABR","Stockable Product","1188.0","ABR1014P12","8859029910140"
"__export__.product_product_505","ไมย์แคร์ แผ่นปิดดูดสิว Day 12 ","AP","Stockable Product","139.0","AP3012","4719745501630"
"__export__.product_product_503","ไมย์แคร์ แผ่นปิดดูดสิว Day 6","AP","Stockable Product","79.0","AP3014","4719745501944"
"__export__.product_product_508","ไมย์แคร์ แผ่นปิดดูดสิว Day 30","AP","Stockable Product","360.0","AP3015","4719745501951"
"__export__.product_product_506","ไมย์แคร์ แผ่นปิดดูดสิว Night 12","AP","Stockable Product","169.0","AP3112","4719745501647"
"__export__.product_product_504","ไมย์แคร์ แผ่นปิดดูดสิว Night 6","AP","Stockable Product","89.0","AP3114","4719745502149"
"__export__.product_product_509","ไมย์แคร์ แผ่นปิดดูดสิว Night 30","AP","Stockable Product","390.0","AP3115","4719745502156"
"__export__.product_product_507","ไมย์แคร์ แผ่นปิดดูดสิว Day 3 x Night 3 ","AP","Stockable Product","84.0","AP3212","4719745502187"
"__export__.product_product_295","ไมย์แคร์ แผ่นปิดดูดสิว Day 3 x Night 3 Pack 12","product.product_category_all","Stockable Product","1008.0","AP3212P12",""
"__export__.product_product_296","ไมย์แคร์ แผ่นปิดดูดสิว Day 3 x Night 3 Pack 72","product.product_category_all","Stockable Product","6048.0","AP3212P72",""
"__export__.product_product_315","ไมย์แคร์ แผ่นปิดดูดสิว Day 6 x Night 6","product.product_category_all","Stockable Product","168.0","AP3214",""
"__export__.product_product_496","โต๊ะนั่งกินข้าวสำหรับเด็ก","BS","Stockable Product","1290.0","BS7019","8859029907010"
"__export__.product_product_443","Baby Bathtub อ่างอาบน้ำเด็กขนาดใหญ่ สีฟ้า","BT","Stockable Product","790.0","BT0211","8859029902114"
"__export__.product_product_173","Baby Bathtub อ่างอาบน้ำเด็กขนาดใหญ่ สีชมพู ","BT","Stockable Product","790.0","BT0216","8859029902268"
"__export__.product_product_174","Baby Bathtub อ่างอาบน้ำเด็กขนาดใหญ่ สีครีม","BT","Stockable Product","790.0","BT0219","8859029902190"
"__export__.product_product_444","Baby Bathtub อ่างอาบน้ำเด็กขนาดกลาง สีฟ้า","BT","Stockable Product","650.0","BT0221","8859029902213"
